ENT,REGION,EDAD_V,P5_21,P6_12,target,EDAD_V_unknown,P5_19_unknown,P5_21_unknown,P5_21_top,P6_12_no_response,P6_12_unknown,P6_12_top,target_no_response,target_unknown,target_log,P5_19A_unknown,salario_mensual,salario_mensual_unknown,ratio_gasto_ingreso,ahorro
1,2,24.0,3000.0,300.0,9.0,False,False,False,False,False,False,False,False,False,2.302585092994046,True,7950.0,True,0.37731103005911204,4950.0
1,2,32.0,5000.0,1200.0,9.0,False,False,False,False,False,False,False,False,False,2.302585092994046,False,4800.0,False,1.0414496979795875,-200.0
1,2,27.0,6000.0,5000.0,200.0,False,False,False,False,False,False,False,False,False,5.303304908059076,False,7600.0,False,0.7893698197605579,1600.0
1,2,26.0,6000.0,4000.0,1000.0,False,False,False,False,False,False,False,False,False,6.90875477931522,False,6000.0,False,0.9998333611064822,0.0
1,2,34.0,4000.0,5000.0,500.0,False,False,False,False,False,False,False,False,False,6.2166061010848646,False,4000.0,False,0.9997500624843789,0.0
1,2,52.0,5400.0,2000.0,50.0,False,False,True,False,False,False,False,False,False,3.9318256327243257,False,400.0,False,13.46633416458853,-5000.0
1,2,23.0,3300.0,5000.0,500.0,False,False,False,False,False,False,False,False,False,6.2166061010848646,False,13600.0,False,0.2426292184398206,10300.0
1,2,56.0,7000.0,20000.0,1000.0,False,False,False,False,False,False,False,False,False,6.90875477931522,False,6000.0,False,1.1664722546242292,-1000.0
1,2,34.0,8000.0,50000.0,1000.0,False,False,False,False,False,False,False,False,False,6.90875477931522,False,12000.0,False,0.6666111157403549,4000.0
1,2,72.0,6000.0,2000.0,100.0,False,False,False,False,False,False,False,False,False,4.61512051684126,False,6000.0,False,0.9998333611064822,0.0
1,2,51.0,9600.0,20000.0,1000.0,False,False,False,False,False,False,False,False,False,6.90875477931522,False,19200.0,False,0.4999739596895995,9600.0
1,2,45.0,9000.0,50000.0,3000.0,False,False,False,False,False,False,False,False,False,8.006700845440367,False,14000.0,False,0.642811227769445,5000.0
1,2,49.0,7000.0,15000.0,2000.0,False,False,False,False,False,False,False,False,False,7.601402334583733,False,12000.0,False,0.5832847262728106,5000.0
1,2,60.0,4600.0,0.0,0.0,False,False,False,False,False,False,False,False,False,0.0,False,4600.0,False,0.9997826559443599,0.0
1,2,30.0,6000.0,5000.0,500.0,False,False,False,False,False,False,False,False,False,6.2166061010848646,True,7950.0,True,0.7546220601182241,1950.0
1,2,53.0,12000.0,5000.0,200.0,False,False,False,False,False,False,False,False,False,5.303304908059076,False,12000.0,False,0.9999166736105325,0.0
1,2,22.0,4200.0,0.0,0.0,False,False,False,False,False,False,False,False,False,0.0,True,7950.0,True,0.5282354420827569,3750.0
